delay_values_0,delay_values_1,delay_values_2,delay_values_3,delay_values_4,delay_values_5,delay_values_6
18.57,20.68,20.79,20.91,21.03,21.17,21.27
18.43,20.54,20.65,20.77,20.88,21.02,21.12
19.32,21.44,21.55,21.67,21.79,21.94,22.04
19.27,21.39,21.5,21.62,21.74,21.89,21.99
19.11,21.22,21.33,21.45,21.57,21.72,21.82
19.79,21.91,22.03,22.15,22.27,22.42,22.52
19.54,21.66,21.78,21.9,22.01,22.16,22.27
19.45,21.57,21.68,21.8,21.92,22.07,22.17
20.07,22.19,22.31,22.43,22.55,22.71,22.81
20.48,22.6,22.72,22.85,22.97,23.12,23.23
19.88,22.0,22.12,22.24,22.36,22.51,22.61
20.25,22.37,22.49,22.61,22.73,22.88,22.99
20.35,22.47,22.59,22.71,22.84,22.98,23.09
20.34,22.46,22.58,22.7,22.83,22.97,23.08
20.52,22.64,22.75,22.88,23.0,23.15,23.26
22.39,24.52,24.64,24.77,24.91,25.06,25.18
25.02,27.16,27.3,27.44,27.58,27.75,27.88
29.91,32.06,32.22,32.38,32.55,32.73,32.88
37.67,39.84,40.02,40.24,40.44,40.66,40.83
52.97,54.61,54.87,55.13,55.4,55.69,55.91
78.57,80.9,81.27,81.64,82.03,84.44,82.76
125.29,127.81,128.35,128.92,129.52,130.15,130.66
209.08,211.89,212.9,214.0,214.66,215.7,216.51
357.32,360.7,362.33,363.73,365.37,367.11,368.48
